date,ticker,open,high,low,close,adj_close,volume,daily_return,volume_zscore,return_zscore,volume_spike,return_spike,market_return,abnormal_return
2019-01-02,AMC,111.00932516086569,120.89941926971424,109.9925883595203,119.14322662353516,119.14322662353516,137490,,-0.4864345969197384,,False,False,,
2019-01-03,AMC,118.31136387162896,125.15123395393205,116.7400438909716,120.71456909179688,120.71456909179688,139240,0.013188684852616817,-0.4862186118711913,0.07805458931913291,False,False,-0.02475673039503723,0.037945415247654046
2019-01-04,AMC,122.19345612824691,126.53769882231275,120.34484101555387,125.15123748779297,125.15123748779297,102500,0.036753379723554636,-0.4907530636904026,0.27259221985640797,False,False,0.03433571464262353,0.0024176650809311084
2019-01-07,AMC,125.24365747130088,131.8062459028349,123.57990126715585,130.51220703125,130.51220703125,111920,0.04283592916114731,-0.4895904470290806,0.32280652399638865,False,False,0.007010434848680358,0.035825494312466954
2019-01-08,AMC,131.34410179389116,135.87320291624056,130.2349215074427,134.67160034179688,134.67160034179688,112270,0.03186976456195345,-0.4895472500193712,0.23227568161149767,False,False,0.009695285023358924,0.022174479538594527
2019-01-09,AMC,136.2429266842683,136.33536308042466,128.3863125406506,128.94090270996094,128.94090270996094,144360,-0.042553126400008745,-0.4855867013291564,-0.38212025878872347,False,False,0.004098045450532162,-0.04665117185054091
2019-01-10,AMC,127.55443736800676,128.66360356783542,124.31936105794861,126.90742492675781,126.90742492675781,97650,-0.01577061848075645,-0.4913516508249474,-0.16101806930597917,False,False,0.004518418782931244,-0.020289037263687693
2019-01-11,AMC,127.18473119160086,130.14251268595595,125.79826979388928,129.68035888671875,129.68035888671875,57860,0.021850052993836133,-0.4962625337287694,0.14955825378974316,False,False,-0.00014629784190933748,0.02199635083574547
2019-01-14,AMC,129.21819870495023,131.80626267360805,127.55444228911205,130.6046600341797,130.6046600341797,141420,0.007127533848578782,-0.4859495562107155,0.028016939304475255,False,False,-0.005257525167898014,0.012385059016476796
2019-01-15,AMC,131.06681471071784,133.56244229970733,129.1257631949404,132.26841735839844,132.26841735839844,64660,0.012738881780966604,-0.49542327754012927,0.07434125357485649,False,False,0.010721688622945758,0.002017193158020847
2019-01-16,AMC,132.0835407304756,134.9488997222684,129.77277189961484,130.32736206054688,130.32736206054688,96010,-0.014675123031010706,-0.49155405967044297,-0.15197423953329933,False,False,0.0022219854881162515,-0.016897108519126958
2019-01-17,AMC,130.23494225041435,133.65489183864898,130.23494225041435,130.41981506347656,130.41981506347656,82830,0.0007093905797521671,-0.49318073563607184,-0.024967849626789218,False,False,0.0075914003822110665,-0.006882009802458899
2019-01-18,AMC,130.88195407273005,134.5791842544025,130.88195407273005,133.65487670898438,133.65487670898438,95380,0.024804985683603897,-0.4916318142879199,0.17395261183311894,False,False,0.01318305304897005,0.011621932634633847
2019-01-22,AMC,129.4954924906185,129.6803511785625,123.85721083353644,124.87395477294922,124.87395477294922,159530,-0.06569847769306947,-0.48371441950832256,-0.5731960110174513,False,False,-0.014157306164566674,-0.051541171528502794
2019-01-23,AMC,125.6133829948701,133.10027934982287,125.42852431653573,127.46199798583984,127.46199798583984,148060,0.020725244248060548,-0.485130047226514,0.14027242898236775,False,False,0.0022029127742235755,0.018522331473836973
2019-01-24,AMC,127.64687397048989,131.89868009410506,126.99984742436689,131.7138214111328,131.7138214111328,59340,0.03335757710125731,-0.4960798720877124,0.24455827333038208,False,False,0.0013757255543636049,0.0319818515468937
2019-01-25,AMC,133.0078562068635,134.02460019469387,128.6636133661432,129.49549865722656,129.49549865722656,77260,-0.016841989171219596,-0.4938681851905903,-0.16986273785319767,False,False,0.008488694060713842,-0.025330683231933437
2019-01-28,AMC,129.125767159918,130.97438233501722,128.29389597264915,129.49549865722656,129.49549865722656,68900,0.0,-0.4948999766225066,-0.0308242022452417,False,False,-0.007846827493937836,0.007846827493937836
